"user_id","round","agent_id","tile_x","tile_y","cnt"
19,1,0,2,0,0
19,1,0,7,7,0
19,1,0,7,3,0
19,1,0,4,0,3
19,1,0,2,7,0
19,1,0,4,1,6
19,1,0,4,3,1
19,1,0,4,7,0
2,4,0,2,2,2
2,4,0,1,2,0
2,4,0,2,1,0
2,4,0,2,3,0
2,4,0,3,2,8
2,4,0,1,1,0
2,4,0,1,3,0
2,4,0,3,1,2
2,4,0,3,3,2
2,4,0,5,5,2
2,4,0,4,5,3
2,4,0,5,4,1
2,4,0,5,6,0
2,4,0,6,5,0
2,4,0,4,4,3
2,4,0,4,6,1
2,4,0,6,4,0
2,4,0,6,6,2
10,4,0,2,2,2
10,4,0,1,2,5
10,4,0,2,1,4
10,4,0,2,3,5
10,4,0,3,2,4
10,4,0,1,1,4
10,4,0,1,3,5
10,4,0,3,1,4
10,4,0,3,3,4
10,4,0,5,5,2
10,4,0,4,5,4
10,4,0,5,4,6
10,4,0,5,6,2
10,4,0,6,5,5
10,4,0,4,4,4
10,4,0,4,6,2
10,4,0,6,4,5
10,4,0,6,6,2
1,5,0,2,2,5
1,5,0,1,2,3
1,5,0,2,1,3
1,5,0,2,3,2
1,5,0,3,2,3
1,5,0,1,1,3
1,5,0,1,3,1
1,5,0,3,1,1
1,5,0,3,3,3
1,5,0,5,5,5
1,5,0,4,5,5
1,5,0,5,4,5
1,5,0,5,6,3
1,5,0,6,5,5
1,5,0,4,4,4
1,5,0,4,6,3
1,5,0,6,4,4
1,5,0,6,6,3
7,4,0,2,2,3
7,4,0,1,2,3
7,4,0,2,1,3
7,4,0,2,3,1
7,4,0,3,2,3
7,4,0,1,1,3
7,4,0,1,3,2
7,4,0,3,1,3
7,4,0,3,3,1
7,4,0,5,5,3
7,4,0,4,5,2
7,4,0,5,4,7
7,4,0,5,6,6
7,4,0,6,5,6
7,4,0,4,4,4
7,4,0,4,6,2
7,4,0,6,4,1
7,4,0,6,6,3
20,3,0,0,1,1
20,3,0,7,0,0
20,3,0,3,1,5
20,3,0,1,4,2
20,3,0,7,4,0
20,3,0,2,0,3
20,3,0,7,7,0
20,3,0,7,3,0
20,3,0,4,0,0
20,3,0,2,7,0
20,3,0,4,1,0
20,3,0,4,3,0
20,3,0,4,7,0
22,2,0,0,1,2
22,2,0,7,0,4
22,2,0,3,1,4
22,2,0,1,4,4
22,2,0,7,4,3
22,2,0,2,0,4
22,2,0,7,7,3
22,2,0,7,3,3
22,2,0,4,0,2
22,2,0,2,7,4
22,2,0,4,1,5
22,2,0,4,3,4
22,2,0,4,7,5
23,2,0,0,1,0
23,2,0,7,0,0
23,2,0,3,1,0
23,2,0,1,4,0
23,2,0,7,4,2
23,2,0,2,0,0
23,2,0,7,7,5
23,2,0,7,3,0
23,2,0,4,0,0
23,2,0,2,7,0
23,2,0,4,1,0
23,2,0,4,3,1
23,2,0,4,7,2
3,4,0,2,2,2
3,4,0,1,2,2
3,4,0,2,1,6
3,4,0,2,3,0
3,4,0,3,2,0
3,4,0,1,1,1
3,4,0,1,3,0
3,4,0,3,1,1
3,4,0,3,3,0
3,4,0,5,5,6
3,4,0,4,5,1
3,4,0,5,4,0
3,4,0,5,6,4
3,4,0,6,5,0
3,4,0,4,4,4
3,4,0,4,6,1
3,4,0,6,4,0
3,4,0,6,6,0
25,1,0,0,1,0
25,1,0,7,0,0
25,1,0,3,1,7
25,1,0,1,4,0
25,1,0,7,4,0
25,1,0,2,0,1
25,1,0,7,7,0
25,1,0,7,3,0
25,1,0,4,0,10
25,1,0,2,7,0
25,1,0,4,1,2
25,1,0,4,3,0
25,1,0,4,7,0
19,2,0,0,1,0
19,2,0,7,0,0
19,2,0,3,1,0
19,2,0,1,4,0
19,2,0,7,4,1
19,2,0,2,0,0
19,2,0,7,7,2
19,2,0,7,3,3
19,2,0,4,0,0
19,2,0,2,7,0
19,2,0,4,1,1
19,2,0,4,3,2
19,2,0,4,7,1
21,2,0,0,1,2
21,2,0,7,0,0
21,2,0,3,1,2
