agent_st_pos_x,agent_st_pos_y,agent_end_pos_x,agent_end_pos_y,agent_ini_pos_x,agent_ini_pos_y,agent_id,duration,user_id,round,st_time_relative,end_time_relative,is_optimal,q_value,expected_q_value
6.9,4.4,6.0,5.0,6,4,0,384,3,5,96.2,96.6,0,1.0,0.0
6.7,5.6,5.0,5.0,6,5,0,375,3,5,97.4,97.7,0,1.0,0.0
5.7,5.2,5.0,5.0,5,5,0,383,3,5,98.4,98.8,0,1.0,0.0555555555555555
5.4,5.3,5.0,6.0,5,5,0,335,3,5,99.4,99.7,0,1.0,0.0555555555555555
1.8,6.3,2.0,3.0,2,5,0,536,4,5,6.4,7.0,1,1.0,0.0
1.3,6.1,1.0,5.0,1,6,0,744,4,5,49.3,50.0,1,1.0,0.0
1.5,6.3,1.0,3.0,1,5,0,568,4,5,52.3,52.9,1,1.0,0.0
2.5,0.6,2.0,1.0,2,0,0,562,4,5,69.0,69.6,1,1.0,0.0833333333333333
1.6,0.6,2.0,1.0,2,1,0,480,4,5,71.6,72.1,0,1.0,0.0277777777777777
1.7,1.1,2.0,2.0,1,1,0,601,4,5,75.5,76.1,0,1.871,0.0277777777777777
1.5,1.3,2.0,2.0,1,1,0,569,4,5,78.5,79.1,0,1.0,0.0277777777777777
1.5,1.4,1.0,2.0,1,1,0,463,4,5,81.9,82.4,0,1.871,0.0277777777777777
2.1,1.9,1.0,2.0,2,2,0,584,4,5,85.9,86.5,1,9.1259,0.1111111111111111
2.2,2.2,4.0,3.0,2,2,0,703,4,5,89.8,90.5,1,9.1259,0.1111111111111111
2.4,3.3,3.0,4.0,2,3,0,631,4,5,95.2,95.8,0,1.0,0.0555555555555555
6.5,6.3,3.0,1.0,6,6,0,992,5,4,2.7,3.7,0,1.0,0.0
3.9,1.9,1.0,1.0,3,1,0,864,5,4,5.0,5.9,0,1.0,0.0277777777777777
1.6,1.3,2.0,2.0,1,1,0,481,5,4,6.9,7.4,0,1.0,0.0
2.9,2.8,4.0,4.0,2,2,0,598,5,4,8.6,9.2,1,1.0,0.1111111111111111
4.7,4.6,6.0,4.0,4,4,0,681,5,4,10.3,11.0,1,1.0,0.1111111111111111
6.9,4.7,2.0,3.0,6,4,0,894,5,4,12.6,13.5,0,1.0,0.0
2.6,2.8,1.0,1.0,2,2,0,836,5,4,16.1,17.0,0,1.0,0.0555555555555555
2.0,1.1,2.0,2.0,1,1,0,708,5,4,18.5,19.2,0,1.0,0.0277777777777777
1.9,2.9,2.0,1.0,2,2,0,753,5,4,21.0,21.8,1,1.0,0.1111111111111111
2.8,1.4,3.0,2.0,2,1,0,720,5,4,22.9,23.6,0,1.0,0.0555555555555555
3.5,2.1,3.0,3.0,3,2,0,753,5,4,24.8,25.5,0,1.0,0.0555555555555555
3.9,3.3,4.0,4.0,3,3,0,665,5,4,26.6,27.3,0,1.0,0.0277777777777777
4.2,4.0,4.0,6.0,4,4,0,858,5,4,28.7,29.6,0,1.0,0.0555555555555555
5.0,5.9,6.0,5.0,4,6,0,770,5,4,31.3,32.0,1,1.0,0.1111111111111111
6.5,6.0,1.0,1.0,6,6,0,1376,5,4,34.2,35.5,0,1.0,0.0277777777777777
0.6,1.3,2.0,1.0,0,1,0,640,5,4,38.2,38.9,0,1.0,0.0
2.4,2.2,4.0,2.0,2,2,0,610,5,4,41.4,42.0,1,1.0,0.1111111111111111
4.1,2.8,3.0,1.0,4,2,0,975,5,4,43.2,44.2,1,1.0,0.0833333333333333
3.2,1.0,2.0,1.0,3,1,0,953,5,4,45.8,46.8,0,1.0,0.0277777777777777
2.5,1.7,4.0,3.0,2,1,0,922,5,4,48.3,49.3,0,4.4486,0.0555555555555555
4.3,4.2,5.0,4.0,4,3,0,641,5,4,50.9,51.5,0,1.0,0.0555555555555555
5.1,6.0,1.0,1.0,5,6,0,1089,5,4,57.2,58.3,1,1.0,0.1111111111111111
1.5,1.1,1.0,2.0,1,1,0,639,5,4,59.5,60.1,0,1.0,0.0
1.5,2.3,2.0,3.0,1,2,0,646,5,4,61.0,61.6,0,1.0,0.0277777777777777
2.1,3.2,3.0,2.0,2,3,0,630,5,4,62.8,63.4,0,1.0,0.0555555555555555
3.8,2.1,5.0,4.0,3,2,0,761,5,4,64.6,65.4,0,1.0,0.0277777777777777
5.2,4.7,6.0,5.0,5,4,0,791,5,4,66.4,67.2,1,3.89,0.1111111111111111
6.5,5.1,6.0,6.0,6,5,0,694,5,4,68.4,69.1,0,1.0,0.0555555555555555
6.7,6.1,2.0,2.0,6,6,0,834,5,4,70.3,71.2,0,1.0,0.0277777777777777
2.7,2.8,4.0,3.0,2,2,0,632,5,4,72.2,72.8,0,1.0,0.0555555555555555
4.1,3.0,3.0,1.0,4,3,0,820,5,4,74.3,75.2,1,1.0,0.0833333333333333
3.5,1.6,1.0,2.0,3,1,0,828,5,4,76.1,76.9,0,1.0,0.0555555555555555
1.8,2.3,4.0,5.0,1,2,0,831,5,4,77.9,78.7,1,1.0,0.1111111111111111
4.9,5.8,6.0,4.0,4,5,0,757,5,4,79.7,80.4,1,3.29,0.1111111111111111
6.1,4.7,6.0,6.0,6,4,0,828,5,4,81.5,82.3,1,1.0,0.1111111111111111
6.8,6.3,1.0,1.0,6,6,0,963,5,4,83.4,84.3,0,1.0,0.0
1.8,1.7,3.0,4.0,1,1,0,547,5,4,85.4,85.9,1,-3.1,0.1111111111111111
3.6,3.9,2.0,3.0,3,4,0,745,5,4,87.3,88.0,0,1.0,0.0555555555555555
2.4,3.6,2.0,1.0,2,3,0,716,5,4,89.1,89.8,0,1.0,0.0277777777777777
2.6,1.6,3.0,1.0,2,1,0,575,5,4,90.7,91.3,0,4.4486,0.0555555555555555
3.7,1.4,4.0,4.0,3,1,0,727,5,4,92.3,93.0,0,1.0,0.0
4.2,4.1,5.0,6.0,4,4,0,803,5,4,94.1,94.9,0,1.0,0.0555555555555555
5.1,6.0,5.0,4.0,5,6,0,705,5,4,96.3,97.0,1,-3.1,0.1111111111111111
5.3,4.8,6.0,4.0,5,4,0,772,5,4,97.8,98.6,1,3.89,0.1111111111111111
1.9,3.9,3.0,2.0,1,4,0,742,5,5,5.6,6.3,1,1.0,0.0833333333333333
3.4,1.9,4.0,4.0,3,2,0,729,5,5,7.7,8.4,0,1.0,0.0555555555555555
4.1,4.3,5.0,4.0,4,4,0,776,5,5,9.5,10.3,0,1.0,0.0
5.8,4.5,6.0,5.0,5,4,0,827,5,5,11.5,12.3,0,1.0,0.0555555555555555
6.7,5.2,4.0,4.0,6,5,0,789,5,5,13.4,14.2,0,1.0,0.0555555555555555
4.4,4.4,6.0,5.0,4,4,0,664,5,5,15.2,15.9,0,1.0,0.0
7.1,6.1,4.0,6.0,6,5,0,783,5,5,17.4,18.2,0,1.0,0.0277777777777777
4.7,6.5,6.0,6.0,4,6,0,632,5,5,19.2,19.8,0,1.0,0.0
